"entered.date","enterer","date","time","observer","plant","sex","exclosure","position","pre","m1","m2.early","m2.late","f.early","f.late","post","abort","imm","notes","projected","osr.0.f","osr.1.f","osr.2.f","osr.3.f","osr.4.f","osr.5.f","osr.patch.f","osr.0.m","osr.1.m","osr.2.m","osr.3.m","osr.4.m","osr.5.m","osr.patch.m","size.0.f","size.1.f","size.2.f","size.3.f","size.4.f","size.5.f","size.patch.f","size.0.m","size.1.m","size.2.m","size.3.m","size.4.m","size.5.m","size.patch.m"
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A690","H",3,7,0,0,0,0,0,0,0,1,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.5,0.72992700729927,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,1,1.37,0,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1475","H",3,8,0,0,0,0,0,0,0,1,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.5,0.72992700729927,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1.37,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A705","H",3,9,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.72992700729927,0.5,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,1.37,1,0,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A3353","H",3,10,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.632911392405063,NA,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,2.37,0,0,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A3243","H",3,11,0,0,0,0,0,0,0,2,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.5,0.72992700729927,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,1,1.37,0,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","B120","H",3,12,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.5,NA,0.72992700729927,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1.37,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A441","H",3,13,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.72992700729927,NA,0.5,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,1.37,0,1,0,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1397","H",3,14,0,0,0,0,0,0,0,1,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.632911392405063,NA,NA,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,2.37,0,0,0,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1847","H",3,15,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.5,NA,0.72992700729927,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,1,0,1.37,0,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A391","H",3,16,1,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.5,NA,0.72992700729927,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1.37,2.37,0,0,0,0,0,0,0
